<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKMP,D,20140829,000000,65.5200000
RTKMP,D,20140901,000000,64.9000000
RTKMP,D,20140902,000000,64.5400000
RTKMP,D,20140903,000000,66.0000000
RTKMP,D,20140904,000000,66.6000000
RTKMP,D,20140905,000000,66.9500000
RTKMP,D,20140908,000000,66.4900000
RTKMP,D,20140909,000000,66.8100000
RTKMP,D,20140910,000000,66.5000000
RTKMP,D,20140911,000000,66.0000000
RTKMP,D,20140912,000000,67.9600000
RTKMP,D,20140915,000000,67.0800000
RTKMP,D,20140916,000000,68.4500000
RTKMP,D,20140917,000000,68.9900000
RTKMP,D,20140918,000000,69.8300000
