<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20150529,000000,234.0000000
ROSN,D,20150601,000000,236.0000000
ROSN,D,20150602,000000,237.5000000
ROSN,D,20150603,000000,233.1000000
ROSN,D,20150604,000000,236.2500000
ROSN,D,20150605,000000,236.7500000
ROSN,D,20150608,000000,239.6000000
ROSN,D,20150609,000000,245.0000000
ROSN,D,20150610,000000,246.0000000
ROSN,D,20150611,000000,245.2000000
ROSN,D,20150615,000000,243.4000000
ROSN,D,20150616,000000,245.7000000
ROSN,D,20150617,000000,245.9000000
ROSN,D,20150618,000000,245.0000000
ROSN,D,20150619,000000,250.0000000
ROSN,D,20150622,000000,251.6000000
ROSN,D,20150623,000000,250.0000000
ROSN,D,20150624,000000,246.0500000
ROSN,D,20150625,000000,238.5500000
ROSN,D,20150626,000000,229.9000000
ROSN,D,20150629,000000,229.6500000
ROSN,D,20150630,000000,232.0000000
ROSN,D,20150701,000000,232.0000000
ROSN,D,20150702,000000,231.2000000
ROSN,D,20150703,000000,228.4000000
ROSN,D,20150706,000000,222.8000000
ROSN,D,20150707,000000,220.5000000
ROSN,D,20150708,000000,219.0000000
ROSN,D,20150709,000000,223.6000000
ROSN,D,20150710,000000,227.0000000
ROSN,D,20150713,000000,231.5000000
ROSN,D,20150714,000000,228.8000000
ROSN,D,20150715,000000,230.5000000
ROSN,D,20150716,000000,233.9000000
ROSN,D,20150717,000000,232.0000000
ROSN,D,20150720,000000,227.2000000
ROSN,D,20150721,000000,227.0500000
ROSN,D,20150722,000000,226.9500000
ROSN,D,20150723,000000,223.2000000
ROSN,D,20150724,000000,220.6000000
ROSN,D,20150727,000000,220.5000000
ROSN,D,20150728,000000,222.9000000
ROSN,D,20150729,000000,229.0000000
ROSN,D,20150730,000000,230.1000000
ROSN,D,20150731,000000,236.7000000
ROSN,D,20150803,000000,233.0500000
ROSN,D,20150804,000000,233.0500000
ROSN,D,20150805,000000,236.1500000
ROSN,D,20150806,000000,233.6500000
ROSN,D,20150807,000000,235.5500000
ROSN,D,20150810,000000,236.8500000
ROSN,D,20150811,000000,235.5000000
ROSN,D,20150812,000000,240.0000000
ROSN,D,20150813,000000,243.9000000
ROSN,D,20150814,000000,246.6000000
ROSN,D,20150817,000000,245.1500000
ROSN,D,20150818,000000,243.2500000
ROSN,D,20150819,000000,241.0500000
ROSN,D,20150820,000000,240.7000000
ROSN,D,20150821,000000,235.2500000
ROSN,D,20150824,000000,227.2500000
ROSN,D,20150825,000000,235.4000000
