"pricingdate","priceclose"
2013-07-10 00:00:00,11.070000
2013-07-11 00:00:00,11.730000
2013-07-12 00:00:00,12.100000
2013-07-15 00:00:00,12.250000
2013-07-16 00:00:00,12.280000
2013-07-17 00:00:00,12.480000
2013-07-18 00:00:00,12.180000
2013-07-19 00:00:00,12.350000
2013-07-22 00:00:00,12.140000
2013-07-23 00:00:00,12.000000
2013-07-24 00:00:00,11.930000
2013-07-25 00:00:00,11.780000
2013-07-26 00:00:00,11.600000
2013-07-29 00:00:00,11.500000
2013-07-30 00:00:00,11.400000
2013-07-31 00:00:00,11.530000
2013-08-01 00:00:00,11.710000
2013-08-02 00:00:00,11.850000
2013-08-05 00:00:00,11.720000
2013-08-06 00:00:00,11.490000
2013-08-07 00:00:00,11.400000
2013-08-08 00:00:00,11.430000
2013-08-09 00:00:00,11.670000
2013-08-12 00:00:00,11.700000
2013-08-13 00:00:00,11.720000
2013-08-14 00:00:00,11.850000
2013-08-15 00:00:00,11.600000
2013-08-16 00:00:00,11.420000
2013-08-19 00:00:00,11.330000
2013-08-20 00:00:00,11.090000
2013-08-21 00:00:00,10.900000
2013-08-22 00:00:00,11.080000
2013-08-23 00:00:00,11.090000
2013-08-27 00:00:00,10.760000
2013-08-28 00:00:00,10.700000
2013-08-29 00:00:00,10.780000
2013-08-30 00:00:00,10.540000
2013-09-02 00:00:00,10.710000
2013-09-03 00:00:00,10.780000
2013-09-04 00:00:00,10.810000
2013-09-05 00:00:00,11.090000
2013-09-06 00:00:00,11.120000
2013-09-09 00:00:00,11.460000
2013-09-10 00:00:00,11.700000
2013-09-11 00:00:00,11.630000
2013-09-12 00:00:00,11.680000
2013-09-13 00:00:00,11.760000
2013-09-16 00:00:00,12.190000
2013-09-17 00:00:00,12.280000
2013-09-18 00:00:00,12.290000
2013-09-19 00:00:00,12.870000
2013-09-20 00:00:00,12.860000
2013-09-23 00:00:00,12.730000
2013-09-24 00:00:00,12.560000
2013-09-25 00:00:00,12.640000
2013-09-26 00:00:00,12.560000
2013-09-27 00:00:00,12.160000
2013-09-30 00:00:00,12.050000
2013-10-01 00:00:00,12.280000
2013-10-02 00:00:00,12.110000
2013-10-03 00:00:00,12.190000
2013-10-04 00:00:00,12.430000
2013-10-07 00:00:00,12.420000
2013-10-08 00:00:00,12.640000
2013-10-09 00:00:00,12.550000
2013-10-10 00:00:00,12.850000
2013-10-11 00:00:00,12.750000
2013-10-14 00:00:00,12.730000
2013-10-15 00:00:00,12.950000
2013-10-16 00:00:00,12.890000
2013-10-17 00:00:00,12.950000
2013-10-18 00:00:00,13.160000
2013-10-21 00:00:00,13.170000
2013-10-22 00:00:00,13.270000
2013-10-23 00:00:00,12.960000
2013-10-24 00:00:00,12.970000
2013-10-25 00:00:00,12.900000
2013-10-28 00:00:00,12.820000
2013-10-29 00:00:00,12.830000
2013-10-30 00:00:00,12.870000
2013-10-31 00:00:00,12.770000
2013-11-01 00:00:00,12.750000
2013-11-04 00:00:00,12.800000
2013-11-05 00:00:00,12.500000
2013-11-06 00:00:00,12.630000
2013-11-07 00:00:00,12.580000
2013-11-08 00:00:00,12.430000
2013-11-11 00:00:00,12.380000
2013-11-12 00:00:00,12.650000
2013-11-13 00:00:00,12.400000
2013-11-14 00:00:00,12.650000
2013-11-15 00:00:00,12.660000
2013-11-18 00:00:00,13.080000
2013-11-19 00:00:00,13.020000
2013-11-20 00:00:00,12.840000
2013-11-21 00:00:00,12.690000
2013-11-22 00:00:00,12.790000
2013-11-25 00:00:00,12.700000
2013-11-26 00:00:00,12.600000
2013-11-27 00:00:00,12.460000
2013-11-28 00:00:00,12.400000
2013-11-29 00:00:00,12.460000
2013-12-02 00:00:00,12.330000
2013-12-03 00:00:00,12.070000
2013-12-04 00:00:00,11.900000
2013-12-05 00:00:00,11.820000
2013-12-06 00:00:00,12.090000
2013-12-09 00:00:00,12.330000
2013-12-10 00:00:00,12.230000
2013-12-11 00:00:00,12.140000
2013-12-12 00:00:00,11.970000
2013-12-13 00:00:00,12.030000
2013-12-16 00:00:00,12.120000
2013-12-17 00:00:00,12.130000
2013-12-18 00:00:00,12.120000
2013-12-19 00:00:00,12.360000
2013-12-20 00:00:00,12.380000
2013-12-23 00:00:00,12.560000
2013-12-24 00:00:00,12.580000
2013-12-27 00:00:00,12.390000
2013-12-30 00:00:00,12.400000
2013-12-31 00:00:00,12.580000
2014-01-02 00:00:00,12.400000
2014-01-03 00:00:00,12.150000
2014-01-06 00:00:00,11.930000
